d_id,serial,battery,status,type
1,413676,70,active,Asset tracking
2,339046,49,broken,Buttons
3,725002,72,deactivated,Asset tracking
4,466259,14,deactivated,Asset tracking
5,523572,42,deactivated,Asset tracking
6,355216,19,deactivated,Buttons
7,950601,91,deactivated,Asset tracking
8,778580,2,deactivated,Asset tracking
9,536035,58,deactivated,Asset tracking
10,729720,69,active,Buttons
11,283242,43,deactivated,Asset tracking
12,839197,58,broken,Asset tracking
13,498651,28,deactivated,Buttons
14,727388,76,broken,Buttons
15,161070,12,deactivated,Buttons
16,654588,90,deactivated,Buttons
17,168628,95,active,Buttons
18,784636,23,deactivated,Buttons
19,254845,35,deactivated,Buttons
20,115390,64,deactivated,Buttons
21,768516,61,deactivated,Buttons
22,182671,39,deactivated,Asset tracking
23,187987,100,deactivated,Buttons
24,631748,44,broken,Buttons
25,532460,5,broken,Buttons
26,416463,14,deactivated,Asset tracking
27,910898,87,active,Buttons
28,324840,80,active,Buttons
29,726146,100,deactivated,Asset tracking
30,869465,28,broken,Asset tracking
31,888036,36,broken,Asset tracking
32,565698,98,active,Asset tracking
33,939447,66,active,Buttons
34,254084,16,deactivated,Buttons
35,171806,80,active,Buttons
36,641556,35,deactivated,Buttons
37,501744,48,broken,Asset tracking
38,120188,28,active,Buttons
39,431117,90,deactivated,Asset tracking
40,586993,63,deactivated,Buttons
41,689075,49,deactivated,Buttons
42,675188,78,deactivated,Buttons
43,422624,76,deactivated,Asset tracking
44,131487,98,deactivated,Buttons
45,600692,33,broken,Asset tracking
46,896712,23,broken,Buttons
47,691820,83,broken,Asset tracking
48,914094,61,active,Asset tracking
49,961235,12,active,Buttons
50,631955,46,broken,Buttons
51,991261,39,deactivated,Asset tracking
52,915045,83,deactivated,Asset tracking
53,840943,28,active,Asset tracking
54,157598,89,deactivated,Asset tracking
55,824517,36,deactivated,Buttons
56,333861,28,broken,Asset tracking
57,924510,14,active,Asset tracking
58,945696,76,deactivated,Asset tracking
59,631100,75,active,Buttons
60,806315,34,deactivated,Buttons
61,864889,31,active,Asset tracking
62,109760,29,deactivated,Buttons
63,959066,10,broken,Buttons
64,633717,68,deactivated,Asset tracking
65,435579,93,deactivated,Buttons
66,951658,17,active,Buttons
67,269803,94,deactivated,Asset tracking
68,936585,67,broken,Buttons
69,993590,15,broken,Asset tracking
70,586326,68,deactivated,Asset tracking
71,279009,53,active,Asset tracking
72,354788,17,active,Asset tracking
73,449719,37,broken,Asset tracking
74,807799,95,active,Buttons
75,444407,100,deactivated,Asset tracking
76,860422,26,deactivated,Asset tracking
77,520892,2,deactivated,Buttons
78,457850,17,deactivated,Asset tracking
79,544806,97,broken,Asset tracking
80,647032,34,deactivated,Asset tracking
81,111799,3,deactivated,Buttons
82,374516,32,deactivated,Buttons
83,797061,95,deactivated,Asset tracking
